dataset,model,n,accuracy,roc_auc,pr_auc,precision,recall,f1,fpr,fnr,tp,tn,fp,fn
E14_Clean,E6-C,200,0.755,0.84265,0.8492660584027687,0.7628865979381443,0.74,0.7512690355329948,0.23,0.26,74,77,23,26
E14_Clean,E20,200,0.65,0.77655,0.7745932253330645,0.8947368421052632,0.34,0.4927536231884058,0.04,0.66,34,96,4,66
E14_Clean,E21,200,0.64,0.83695,0.844819412791563,0.5864197530864198,0.95,0.7251908396946565,0.67,0.05,95,33,67,5
E14_Clean,E22_Ensemble,200,0.67,0.8448,0.8426209336792982,0.6118421052631579,0.93,0.738095238095238,0.59,0.07,93,41,59,7
E14_Degraded,E6-C,600,0.6583333333333333,0.7640055555555556,0.7722784366963309,0.7844311377245509,0.43666666666666665,0.5610278372591007,0.12,0.5633333333333334,131,264,36,169
E14_Degraded,E20,600,0.6416666666666667,0.7980166666666667,0.8012935647023274,0.897196261682243,0.32,0.47174447174447176,0.03666666666666667,0.68,96,289,11,204
E14_Degraded,E21,600,0.6316666666666667,0.7698888888888888,0.7749204912857368,0.5864332603938731,0.8933333333333333,0.7080581241743725,0.63,0.10666666666666667,268,111,189,32
E14_Degraded,E22_Ensemble,600,0.6516666666666666,0.7817277777777778,0.7918279438999163,0.6041189931350115,0.88,0.7164179104477613,0.5766666666666667,0.12,264,127,173,36
E19_Smartphone_Benchmark,E6-C,200,0.695,0.78535,0.7704965545422031,0.7746478873239436,0.55,0.6432748538011696,0.16,0.45,55,84,16,45
E19_Smartphone_Benchmark,E20,200,0.865,0.977,0.9708485272539816,0.9866666666666667,0.74,0.8457142857142858,0.01,0.26,74,99,1,26
E19_Smartphone_Benchmark,E21,200,0.805,0.88355,0.8851705979198475,0.7563025210084033,0.9,0.8219178082191781,0.29,0.1,90,71,29,10
E19_Smartphone_Benchmark,E22_Ensemble,200,0.8,0.9153,0.917430840709106,0.7678571428571429,0.86,0.8113207547169812,0.26,0.14,86,74,26,14
E19_WhatsApp_Subset,E6-C,60,0.36666666666666664,0.30444444444444446,0.3746181994770598,0.2777777777777778,0.16666666666666666,0.20833333333333334,0.43333333333333335,0.8333333333333334,5,17,13,25
E19_WhatsApp_Subset,E20,60,0.7333333333333333,0.8911111111111111,0.8686986061514421,0.9375,0.5,0.6521739130434783,0.03333333333333333,0.5,15,29,1,15
E19_WhatsApp_Subset,E21,60,0.6166666666666667,0.6188888888888889,0.616775497407011,0.574468085106383,0.9,0.7012987012987012,0.6666666666666666,0.1,27,10,20,3
E19_WhatsApp_Subset,E22_Ensemble,60,0.5666666666666667,0.6655555555555556,0.7025446432144488,0.5476190476190477,0.7666666666666667,0.6388888888888888,0.6333333333333333,0.23333333333333334,23,11,19,7
WhatsApp_N67_Benchmark,E6-C,67,0.6119402985074627,0.6550802139037433,0.6828057835176367,0.8181818181818182,0.2727272727272727,0.4090909090909091,0.058823529411764705,0.7272727272727273,9,32,2,24
WhatsApp_N67_Benchmark,E20,67,0.5223880597014925,0.5320855614973262,0.5367080428338676,0.52,0.3939393939393939,0.44827586206896547,0.35294117647058826,0.6060606060606061,13,22,12,20
WhatsApp_N67_Benchmark,E21,67,0.5522388059701493,0.5641711229946524,0.5512257546333469,0.5365853658536586,0.6666666666666666,0.5945945945945946,0.5588235294117647,0.3333333333333333,22,15,19,11
WhatsApp_N67_Benchmark,E22_Ensemble,67,0.5373134328358209,0.5632798573975044,0.5451242763242661,0.525,0.6363636363636364,0.5753424657534246,0.5588235294117647,0.36363636363636365,21,15,19,12
